prefix,term,df,ttf
zoonos,zoonosis,19115,22537
zoonos,zoonoses,14855,22337
zoonos,zoonose,3166,3544
zoonos,zoonosen,574,716
zoonos,zoonosi,339,399
zoonos,zoonoseerreger,80,98
zoonos,zoonoseerregern,59,71
zoonos,zoonosico,57,68
zoonos,zoonoser,39,58
zoonos,zoonosica,31,33
zoonos,zoonosici,29,31
zoonos,zoonosa,25,28
zoonos,zoonos,24,25
zoonos,zoonosicas,15,15
zoonos,zoonosique,14,17
zoonos,zoonoserisiko,13,16
zoonos,zoonosic,12,15
zoonos,zoonosiche,10,10
zoonos,zoonostic,8,9
zoonos,zoonosicos,7,13
zoonos,zoonosenerhebung,6,6
zoonos,zoonosepotenzial,6,6
zoonos,zoonoseverwekkers,6,8
zoonos,zoonosenforschung,5,5
zoonos,zoonoseerregers,4,4
zoonos,zoonosises,4,4
zoonos,zoonosismags,4,8
zoonos,zoonosepotential,3,4
zoonos,zoonosisi,3,3
zoonos,zoonosisnya,3,3
zoonos,zoonosisok,3,3
zoonos,zoonosecharakter,2,2
zoonos,zoonoseesp,2,2
zoonos,zoonosenachweis,2,2
zoonos,zoonosenbek,2,2
zoonos,zoonosenerregern,2,2
zoonos,zoonosenmonitoring,2,2
zoonos,zoonosenplattform,2,2
zoonos,zoonosenseltene,2,2
zoonos,zoonosepotentials,2,2
zoonos,zoonoseregistret,2,2
zoonos,zoonoserisiken,2,2
zoonos,zoonosescommunicable,2,2
zoonos,zoonosiques,2,2
zoonos,zoonosist,2,2
zoonos,zoonosologie,2,2
zoonos,zoonosrisk,2,2
zoonos,zoonostur,2,2
zoonos,zoonosal,1,1
zoonos,zoonosaspekterna,1,1
zoonos,zoonosaurus,1,1
zoonos,zoonoscici,1,1
zoonos,zoonoscs,1,1
zoonos,zoonoseando,1,1
zoonos,zoonoseausbr,1,1
zoonos,zoonosecene,1,1
zoonos,zoonosecenters,1,1
zoonos,zoonosecharakteranimalermrs,1,1
zoonos,zoonosed,1,1
zoonos,zoonosediagnostik,1,1
zoonos,zoonosedue,1,1
zoonos,zoonoseereignisse,1,1
zoonos,zoonoseerregerdiagnostik,1,1
zoonos,zoonosef,1,1
zoonos,zoonoseforschung,1,1
zoonos,zoonosegefahr,1,1
zoonos,zoonosegeschehen,1,1
zoonos,zoonosemonitoring,1,1
zoonos,zoonosenbericht,1,1
zoonos,zoonosene,1,2
zoonos,zoonosenerreger,1,1
zoonos,zoonosenfrage,1,1
zoonos,zoonosennachweis,1,1
zoonos,zoonosenrichtlinie,1,1
zoonos,zoonosenrisico,1,1
zoonos,zoonosensymposium,1,1
zoonos,zoonosenviral,1,1
zoonos,zoonosepotenzials,1,1
zoonos,zoonoseregern,1,1
zoonos,zoonoseregisteret,1,1
zoonos,zoonoserelevanter,1,1
zoonos,zoonoserisikos,1,1
zoonos,zoonoserregern,1,1
zoonos,zoonosers,1,1
zoonos,zoonosesa,1,1
zoonos,zoonosesborrelia,1,1
zoonos,zoonosesbritish,1,1
zoonos,zoonosescontrol,1,1
zoonos,zoonosesda,1,1
zoonos,zoonosesdo,1,1
zoonos,zoonosesemerged,1,1
zoonos,zoonosesespecial,1,1
zoonos,zoonosesetiological,1,1
zoonos,zoonosesevaluation,1,1
zoonos,zoonosesf,1,1
zoonos,zoonosesinflammatory,1,1
zoonos,zoonosesis,1,1
zoonos,zoonosesituationen,1,1
zoonos,zoonosesmethodsthe,1,1
zoonos,zoonosesmicrosporidia,1,1
wound,wound,464303,956350
wound,wounds,167889,287138
wound,wounded,50932,69568
wound,wounding,21115,31984
wound,woundedness,384,516
wound,woundhealing,310,336
wound,woundcare,145,184
wound,woundings,120,178
wound,woundwort,72,84
wound,woundinfection,47,50
wound,woundless,41,47
wound,woundes,40,42
wound,wounde,34,35
wound,woundfin,29,88
wound,wounder,27,51
wound,woundmaker,24,24
wound,woundinduced,23,24
wound,woundstat,21,54
wound,woundsjournal,20,20
wound,woundwood,19,26
wound,woundinfections,17,20
wound,woundsand,16,17
wound,wounderfull,15,15
wound,woundexpert,15,15
wound,wounddehiscence,14,14
wound,woundplast,14,22
wound,woundsof,14,14
wound,woundt,14,15
wound,wounda,13,13
wound,woundclosure,13,13
wound,woundeds,13,23
wound,woundin,13,13
wound,woundrelated,13,13
wound,woundthese,12,12
wound,woundc,11,11
wound,woundi,11,11
wound,woundvision,11,21
wound,woundbed,10,10
wound,woundcarenet,10,10
wound,wounderful,10,10
wound,woundod,10,12
wound,woundsin,10,10
